ContactID,FullName,Email,Phone,JoinDate,LifetimeSpend,OptedIn,Region
C0235,Liam Marchetti,Liam.Marchetti49@Outlook.COM,,22-May-24,"$19,409.40",FALSE, NA-W
C0236,  TARIQ ZHANG ,Tariq.Zhang27@corp.example,740.662.1183,06-Oct-22,n/a,,NA-E
C0237,Liam Quintero ,Liam.Quintero45@gmail.com,+1-962-901-2561,08-Jan-23,7953 USD,N,uki
C0238,Julia Costa ,Julia.Costa85@proton.me,,02/06/2025,n/a,, NA-W
C0239,Liam Moreau,Liam.Moreau90@Outlook.COM,423.709.2670,2022-05-03,15160.30,No, NA-W
C0240,"Nakamura, Thea",Thea.Nakamura27@proton.me,7422824892,2022-08-31,29284.68,TRUE,?
C0241,Darius Yilmaz ,Darius.Yilmaz73@yahoo.co.uk,(476) 803-7618,12-Mar-25,10239.12,,na-e
C0242,"Iversen, Jonas",Jonas.Iversen64@corp.example,(291) 904-1389,2025-05-12,n/a,No,NA-E
C0243,"Oyelaran, Fatima",Fatima.Oyelaran9@yahoo.co.uk,(322) 897-6037,2025-06-21,35448 USD,No,APAC-N
C0244,"Carvalho, Adaeze",Adaeze.Carvalho75@Outlook.COM,,2022-02-26,"$42,570.48",,NA-E
C0245,Elena  Tanaka,Elena.Tanaka83@yahoo.co.uk,+1-203-517-5027,06/24/2024,"$28,303.67",No,UKI
C0246,  SANA WEBER ,Sana.Weber45@yahoo.co.uk,(756) 885-5072,03-Sep-24,n/a,TRUE,NA-E
C0247,Yusuf Quintero,Yusuf.Quintero34@proton.me,3629605646,04-Jun-23,8333.42,,?
C0248,  NADIA MBEKI ,Nadia.Mbeki72@corp.example,451.312.1261,19-Nov-22,24617.93,,?
C0249,Samir  Yilmaz,Samir.Yilmaz41@corp.example,(772) 872-4292,30-Jun-25,n/a,yes,na-e
C0250,"Eriksen, Chen",Chen.Eriksen23@gmail.com,,,43722.81,Y,na-e
C0251,Lara  Eriksen,Lara.Eriksen55@corp.example,6239436418,,"$6,278.20",FALSE,DACH
C0252,Rosa Carvalho ,Rosa.Carvalho49@Outlook.COM,(644) 920-9576,07-Oct-24,n/a,FALSE,APAC-N
C0253,Chen Bennett ,Chen.Bennett87@proton.me,+1-471-937-4437,28-Feb-23,16565 USD,TRUE,UKI
C0254,"Khan, Petra",Petra.Khan73@gmail.com,6927830147,,29639 USD,N,UKI
C0255,Julia Kaur,Julia.Kaur37@Outlook.COM,+1-879-551-7762,2022-06-30,30764 USD,TRUE,UKI
C0256,Mei  Marchetti,Mei.Marchetti49@corp.example,826.668.6279,04/17/2025,5420.55,Yes, NA-W
C0257,  VIKTOR OKAFOR ,Viktor.Okafor86@corp.example,6926406955,06/09/2023,"$22,202.56",Yes,DACH
C0258,Malik Bakker,Malik.Bakker40@yahoo.co.uk,,03-Apr-23,n/a,TRUE,UKI
C0259,  BIANCA KHAN ,Bianca.Khan69@corp.example,,2023-01-25,n/a,yes,APAC-N
C0259,  BIANCA KHAN ,Bianca.Khan69@corp.example,,2023-01-25,n/a,yes,APAC-N
C0260,Greta Toure ,Greta.Toure89@gmail.com,,09/25/2024,n/a,Yes, NA-W
C0261,  ROSA CARVALHO ,Rosa.Carvalho50@corp.example,(722) 308-8865,2022-03-24,46744.55,Y,NA-E
C0262,Darius  Hoffmann,Darius.Hoffmann91@proton.me,842.709.8079,23-Sep-24,44180.03,FALSE,na-e
C0263,"Tanaka, Felix",Felix.Tanaka67@corp.example,2293368319,07/14/2023,n/a,yes,na-e
C0264,Tomas Hoffmann ,Tomas.Hoffmann9@proton.me,+1-887-514-1966,,30680 USD,no,?
C0265,  SANA SORENSEN ,Sana.Sorensen94@gmail.com,8158590058,24-Jun-23,"$35,319.46",Y,APAC-N
C0265X,  SANA SORENSEN ,Sana.Sorensen94@gmail.com,8158590058,24-Jun-23,"$35,319.46",Y,APAC-N
C0266,Tomas  Jensen,Tomas.Jensen93@corp.example,+1-661-346-2279,12/20/2023,"$26,775.86",no, NA-W
C0267,"Kowalski, Wei",Wei.Kowalski70@Outlook.COM,5425763987,01/18/2022,39571 USD,yes,NA-E
C0268,  LARA MARCHETTI ,Lara.Marchetti57@yahoo.co.uk,+1-293-312-8868,2024-12-28,"$6,362.40",No, NA-W
C0269,"Zhang, Samir",Samir.Zhang76@Outlook.COM,7784651289,16-May-25,n/a,Yes,DACH
C0270,"Fontaine, Ada",Ada.Fontaine52@gmail.com,(800) 669-2163,11/14/2023,46642.07,No, NA-W
C0271,  DANIELA OKAFOR ,Daniela.Okafor53@Outlook.COM,8754808815,23-Jul-25,"$42,853.19",no,UKI
C0272,Bao Abara ,Bao.Abara22@Outlook.COM,539.949.6787,09-May-24,"$46,342.36",yes,NA-E
C0273,Rosa Sorensen,Rosa.Sorensen37@corp.example,832.895.5234,,n/a,no,NA-E
C0274,  JULIA KHAN ,Julia.Khan72@proton.me,,10-Jul-25,n/a,N,UKI
C0275,Darius Singh,Darius.Singh95@proton.me,6656421255,2022-01-27,n/a,No,?
C0276,Sana Toure,Sana.Toure54@proton.me,3014495114,,"$11,478.79",Yes,na-e
C0277,Julia Alvarez ,Julia.Alvarez10@proton.me,,,"$49,185.73",TRUE,NA-E
C0278,Darius Bennett ,Darius.Bennett86@yahoo.co.uk,4450532172,02-Oct-23,n/a,no,UKI
C0279,Rania  Mbeki,Rania.Mbeki98@yahoo.co.uk,+1-480-786-1988,2024-06-24,n/a,No,APAC-N
C0280,Yara Fontaine,Yara.Fontaine54@yahoo.co.uk,,10-Jan-22,n/a,no,NA-E
C0281,Kwame Toure ,Kwame.Toure43@Outlook.COM,(382) 935-6538,2023-11-16,n/a,Y, NA-W
C0282,"Carvalho, Liam",Liam.Carvalho47@corp.example,6606869196,2024-11-17,24556 USD,N,UKI
C0283,Jonas Delgado ,Jonas.Delgado45@yahoo.co.uk,929.536.5042,03/02/2022,n/a,Y, NA-W
C0284,Nadia Wang,Nadia.Wang39@gmail.com,(904) 255-8327,,11765.60,Y,UKI
C0285,"Bakker, Ines",Ines.Bakker90@Outlook.COM,,2024-03-13,n/a,yes,NA-E
C0286,Zara Petrov,Zara.Petrov13@corp.example,(758) 299-2259,01/12/2025,"$2,063.29",,DACH
C0287,Ivan Novak ,Ivan.Novak81@corp.example,225.964.5851,,"$26,738.53",TRUE,UKI
C0288,Yusuf Zhang,Yusuf.Zhang21@proton.me,8224794379,02/02/2024,n/a,no, NA-W
C0289,  BRUNO BAKKER ,Bruno.Bakker84@yahoo.co.uk,+1-714-339-1254,,11765 USD,yes,DACH
C0290,Wei  Moreau,Wei.Moreau13@yahoo.co.uk,,12-Mar-22,n/a,, NA-W
C0291,Mei Petrov ,Mei.Petrov62@Outlook.COM,,,"$9,734.71",Yes,NA-E
C0292,  BRUNO LINDQVIST ,Bruno.Lindqvist68@gmail.com,415.849.1224,05/19/2023,n/a,FALSE, NA-W
C0293,"Wang, Thea",Thea.Wang53@Outlook.COM,,09-Jan-23,10223.18,yes, NA-W
C0294,Amara  Marchetti,Amara.Marchetti30@gmail.com,,21-Feb-24,n/a,FALSE,?
C0295,Bianca Wang ,Bianca.Wang21@Outlook.COM,,17-Feb-22,"$49,270.83",No,DACH
C0296,Viktor Singh ,Viktor.Singh98@gmail.com,,04/23/2022,"$25,245.26",FALSE,APAC-N
C0296,Viktor Singh ,Viktor.Singh98@gmail.com,,04/23/2022,"$25,245.26",FALSE,APAC-N
C0297,Bianca Okafor ,Bianca.Okafor15@gmail.com,824.729.7510,2022-11-25,"$47,463.86",,na-e
C0298,Tariq Tanaka ,Tariq.Tanaka35@proton.me,9474264343,,"$35,981.77",yes,uki
C0299,Sana Alvarez,Sana.Alvarez34@gmail.com,,04/29/2024,n/a,Yes,?
C0300,Greta  Nakamura,Greta.Nakamura39@corp.example,6321126999,2023-01-10,10750 USD,no,APAC-N
C0301,Felix Petrov,Felix.Petrov74@yahoo.co.uk,+1-557-205-6023,2022-12-14,3375 USD,no,na-e
C0302,Rania Weber,Rania.Weber19@yahoo.co.uk,+1-482-836-3802,05/05/2023,14226.17,FALSE,DACH
C0303,  ELENA IVERSEN ,Elena.Iversen23@corp.example,(624) 948-1474,2024-11-03,n/a,No,UKI
C0304,"Haddad, Bruno",Bruno.Haddad60@Outlook.COM,487.727.6090,,"$2,967.71",no,?
C0305,Viktor Lindqvist ,Viktor.Lindqvist27@corp.example,(585) 664-2916,2022-07-20,"$39,032.97",,?
C0306,Elena  Moreau,Elena.Moreau48@yahoo.co.uk,784.456.2916,2024-10-01,n/a,yes, NA-W
C0307,"Bakker, Liam",Liam.Bakker46@proton.me,,15-Jul-25,n/a,N,na-e
C0308,Jonas Nakamura ,Jonas.Nakamura70@yahoo.co.uk,(814) 464-7119,2023-01-31,18934.72,yes,na-e
C0309,Zara Andersen ,Zara.Andersen8@corp.example,(224) 444-5942,2025-03-05,31289.85,No, NA-W
C0310,Bao  Toure,Bao.Toure87@corp.example,502.978.3153,2023-01-09,n/a,yes,DACH
C0311,Yusuf Zhang ,Yusuf.Zhang68@gmail.com,(846) 302-5471,,n/a,Y,uki
C0312,"Quintero, Nadia",Nadia.Quintero35@proton.me,+1-300-574-3158,06/07/2024,"$48,339.73",TRUE,APAC-N
C0313,Yusuf Quintero ,Yusuf.Quintero49@Outlook.COM,,09/20/2023,n/a,Y,?
C0314,Rania Kowalski ,Rania.Kowalski31@gmail.com,+1-920-348-2139,26-Apr-25,38633.41,yes, NA-W
C0315,Ravi Toure,Ravi.Toure81@proton.me,+1-763-481-3429,10/07/2023,n/a,no,APAC-N
C0316,  WEI MOREAU ,Wei.Moreau7@proton.me,823.960.4168,,10195 USD,Y, NA-W
C0317,Rania Wang,Rania.Wang27@yahoo.co.uk,(350) 932-9979,09-Jul-22,33142 USD,No,APAC-N
C0318,  BRUNO WANG ,Bruno.Wang30@Outlook.COM,5361627676,2024-02-06,"$18,493.69",N,DACH
C0318X,  BRUNO WANG ,Bruno.Wang30@Outlook.COM,5361627676,2024-02-06,"$18,493.69",N,DACH
C0319,Ines Oyelaran,Ines.Oyelaran50@Outlook.COM,(891) 857-1602,,31792 USD,TRUE, NA-W
C0320,Ada  Zhang,Ada.Zhang36@yahoo.co.uk,256.745.5621,24-Mar-24,"$27,060.22",No,UKI
C0321,Greta  Mbeki,Greta.Mbeki43@Outlook.COM,(252) 883-6160,2025-03-10,n/a,N,APAC-N
C0322,Amara Eriksen ,Amara.Eriksen50@gmail.com,8725223674,,n/a,TRUE,UKI
C0323,"Kowalski, Yara",Yara.Kowalski60@yahoo.co.uk,2775403397,2023-05-14,n/a,,NA-E
C0324,Aria Jensen,Aria.Jensen37@Outlook.COM,(333) 501-8130,20-Apr-23,24533 USD,FALSE,APAC-N
C0325,"Ibrahim, Julia",Julia.Ibrahim56@corp.example,+1-868-816-3874,,n/a,yes,uki
C0326,"Dahl, Rosa",Rosa.Dahl85@yahoo.co.uk,+1-780-972-1509,,n/a,No,UKI
C0327,Ines Ibrahim ,Ines.Ibrahim90@yahoo.co.uk,6912769682,05/29/2024,10496 USD,FALSE,na-e
C0328,  ARIA QUINTERO ,Aria.Quintero8@gmail.com,(773) 359-6364,2023-07-15,2644 USD,No,APAC-N
C0329,"Bakker, Sana",Sana.Bakker7@Outlook.COM,2470801649,23-Apr-25,36363 USD,FALSE,NA-E
C0330,Bao Khan ,Bao.Khan7@yahoo.co.uk,,03/17/2024,19160.45,Y,DACH
C0331,  CALEB LAURENT ,Caleb.Laurent30@corp.example,+1-211-733-5554,10/28/2022,46740.20,TRUE,APAC-N
C0332,  RAVI WANG ,Ravi.Wang34@Outlook.COM,+1-607-239-3724,21-Jun-25,22688 USD,N,APAC-N
C0333,  ZARA VOGEL ,Zara.Vogel9@proton.me,,2024-11-15,19363.52,Y,NA-E
C0333,  ZARA VOGEL ,Zara.Vogel9@proton.me,,2024-11-15,19363.52,Y,NA-E
C0334,Lara Fontaine ,Lara.Fontaine74@yahoo.co.uk,(656) 983-5195,,"$2,591.74",no,?
C0335,Nikolai Garcia,Nikolai.Garcia66@gmail.com,668.833.7099,,"$27,725.00",No,APAC-N
C0336,"Bennett, Rania",Rania.Bennett32@Outlook.COM,461.638.2405,,n/a,no,na-e
C0337,  TOMAS ABARA ,Tomas.Abara36@Outlook.COM,(704) 669-1381,2022-05-29,"$27,967.86",yes,uki
C0338,Lara Singh,Lara.Singh36@yahoo.co.uk,+1-575-535-3749,2022-10-10,6598.80,,?
C0339,Wei  Dahl,Wei.Dahl86@proton.me,5467921099,,"$38,000.51",no,uki
C0340,Kwame  Novak,Kwame.Novak83@gmail.com,382.463.1270,,40713.59,yes,APAC-N
C0341,  JULIA QUINTERO ,Julia.Quintero48@yahoo.co.uk,+1-388-233-9222,2023-01-17,n/a,No,uki
C0342,  YARA IVERSEN ,Yara.Iversen20@yahoo.co.uk,,11-Nov-24,n/a,No,NA-E
C0343,"Haddad, Lucia",Lucia.Haddad35@proton.me,842.213.3600,2023-11-05,"$45,945.20",N,NA-E
C0344,  ZARA MBEKI ,Zara.Mbeki76@gmail.com,,05/10/2023,"$30,856.44",, NA-W
C0345,Yara Khan ,Yara.Khan2@Outlook.COM,(408) 369-9699,2023-10-30,"$38,365.29",Yes,APAC-N
C0346,Zara  Khan,Zara.Khan8@yahoo.co.uk,9906094546,07/03/2023,n/a,no,DACH
C0347,Bruno Nakamura,Bruno.Nakamura16@gmail.com,,2025-06-16,2188.57,no,NA-E
C0348,Sana Eriksen,Sana.Eriksen33@Outlook.COM,,20-Apr-22,10977.20,,NA-E
C0349,  UMA ZHANG ,Uma.Zhang23@gmail.com,,09/05/2024,n/a,TRUE,uki
C0350,  CALEB CHEN ,Caleb.Chen15@yahoo.co.uk,2323216404,,9135 USD,FALSE,uki
C0351,Ravi Sandoval,Ravi.Sandoval20@Outlook.COM,8558406002,2024-06-11,8316.71,TRUE, NA-W
C0352,"Ibrahim, Fatima",Fatima.Ibrahim86@proton.me,+1-390-694-6820,01/12/2023,"$17,195.22",FALSE,APAC-N
C0353,  ZOE DELGADO ,Zoe.Delgado54@gmail.com,644.916.1214,2024-12-24,18910.48,N,NA-E
C0354,Bruno  Hoffmann,Bruno.Hoffmann87@corp.example,,2022-06-22,"$43,764.28",N,APAC-N
C0355,"Rossi, Yusuf",Yusuf.Rossi23@Outlook.COM,5419176238,06-Apr-23,35172 USD,FALSE,uki
C0356,  CAMILA MBEKI ,Camila.Mbeki21@gmail.com,,18-Aug-24,46600.23,Yes,?
C0357,Malik Tanaka ,Malik.Tanaka19@proton.me,(552) 243-7710,2024-11-13,n/a,No,?
C0358,Jonas  Haddad,Jonas.Haddad29@Outlook.COM,+1-551-788-6771,02/21/2023,n/a,N, NA-W
C0359,Liam Eriksen,Liam.Eriksen78@yahoo.co.uk,,2023-04-05,"$7,975.48",yes,na-e
C0360,Sana Sandoval,Sana.Sandoval7@gmail.com,9510399173,,"$39,051.02",,DACH
C0361,Sana  Novak,Sana.Novak15@gmail.com,,2025-05-24,26423 USD,FALSE,UKI
C0362,  CALEB LINDQVIST ,Caleb.Lindqvist72@yahoo.co.uk,,04/28/2023,9087 USD,Yes,APAC-N
C0363,  INES COSTA ,Ines.Costa42@proton.me,8949035560,25-Nov-24,3972 USD,,UKI
C0364,Hana Mbeki ,Hana.Mbeki86@corp.example,887.521.9075,12/28/2022,"$40,918.13",Yes,APAC-N
C0365,  RANIA VOGEL ,Rania.Vogel78@Outlook.COM,433.570.6560,2022-06-07,"$31,351.27",TRUE,APAC-N
C0366,Julia Dahl ,Julia.Dahl67@yahoo.co.uk,(775) 710-4326,2022-03-08,"$8,958.51",no, NA-W
C0367,Nikolai Sandoval ,Nikolai.Sandoval41@proton.me,4391149293,2024-10-19,n/a,,?
C0368,  ARIA TOURE ,Aria.Toure94@corp.example,3267582221,16-Dec-22,"$32,669.06",No,?
C0369,"Sandoval, Felix",Felix.Sandoval24@gmail.com,(909) 466-2861,2024-07-25,6447.37,TRUE,uki
C0370,"Tanaka, Hana",Hana.Tanaka90@gmail.com,+1-226-908-4205,2024-09-01,14254 USD,TRUE, NA-W
C0370,"Tanaka, Hana",Hana.Tanaka90@gmail.com,+1-226-908-4205,2024-09-01,14254 USD,TRUE, NA-W
C0371,Rania  Tanaka,Rania.Tanaka71@Outlook.COM,524.253.9431,,4044 USD,Yes,DACH
C0371X,RANIA  TANAKA,Rania.Tanaka71@Outlook.COM,524.253.9431,,4044 USD,Yes,DACH
C0372,"Laurent, Ines",Ines.Laurent95@yahoo.co.uk,759.453.5105,24-Nov-24,n/a,,DACH
C0373,Ivan Garcia ,Ivan.Garcia97@Outlook.COM,421.418.6534,06/26/2022,"$20,949.88",No,na-e
C0374,  RAVI ZHANG ,Ravi.Zhang41@proton.me,783.888.6058,06-Jul-25,"$35,179.43",Y,NA-E
C0375,  SAMIR CHEN ,Samir.Chen62@gmail.com,6716524217,23-Feb-24,n/a,yes,na-e
C0376,Caleb Sorensen,Caleb.Sorensen94@yahoo.co.uk,3058377455,,9834 USD,no, NA-W
C0377,Jonas Vogel ,Jonas.Vogel41@yahoo.co.uk,(656) 464-3287,11-Apr-25,38780 USD,Y, NA-W
C0378,Zoe Okafor,Zoe.Okafor41@gmail.com,597.960.4411,2022-11-02,19913 USD,Y,UKI
C0379,"Costa, Lucia",Lucia.Costa75@Outlook.COM,3325445679,2022-05-03,n/a,Yes,na-e
C0380,Mei Bakker ,Mei.Bakker23@corp.example,,07/18/2024,42987 USD,,na-e
C0381,  ZARA CHEN ,Zara.Chen6@corp.example,(237) 418-3186,07-Dec-24,"$21,927.14",FALSE,uki
C0382,"Abara, Nadia",Nadia.Abara7@proton.me,(831) 917-9813,23-Jul-24,6608.23,N,UKI
C0383,Lucia  Khan,Lucia.Khan46@corp.example,+1-298-317-3482,2024-04-04,"$28,525.45",TRUE,UKI
C0384,Fatima  Kaur,Fatima.Kaur81@proton.me,+1-294-505-3869,2025-05-24,24163.74,FALSE,na-e
C0385,Nikolai Lindqvist,Nikolai.Lindqvist17@proton.me,+1-487-578-5310,2024-04-02,"$6,526.31",Y,DACH
C0386,  THEA KAUR ,Thea.Kaur73@corp.example,,06-Oct-24,5434 USD,Y,APAC-N
C0387,"Petrov, Thea",Thea.Petrov58@proton.me,256.322.7033,04/24/2023,32837 USD,TRUE,NA-E
C0388,Viktor Weber,Viktor.Weber91@gmail.com,(863) 658-1332,,n/a,No,NA-E
C0389,  OMAR SANDOVAL ,Omar.Sandoval48@gmail.com,7456130372,03/22/2023,n/a,TRUE,DACH
C0390,Malik Nakamura,Malik.Nakamura12@Outlook.COM,813.439.8831,29-Apr-25,"$10,923.05",Y,APAC-N
C0391,Lara Alvarez ,Lara.Alvarez87@Outlook.COM,,06-Sep-23,39977.92,No,NA-E
C0392,"Weber, Bianca",Bianca.Weber84@proton.me,315.614.9207,,217.81,FALSE,APAC-N
C0393,  PAULO ERIKSEN ,Paulo.Eriksen23@yahoo.co.uk,+1-808-657-5264,29-May-23,34634 USD,N,NA-E
C0394,  ZOE TOURE ,Zoe.Toure32@corp.example,3769798770,,n/a,Y,DACH
C0395,Lara Fontaine ,Lara.Fontaine72@yahoo.co.uk,(603) 578-7615,18-Jul-22,49350 USD,N,DACH
C0396,"Weber, Felix",Felix.Weber90@Outlook.COM,7126969650,,42255 USD,N,?
C0397,Greta Weber ,Greta.Weber79@Outlook.COM,,18-Feb-22,n/a,yes,DACH
C0398,Amara Zimmerman ,Amara.Zimmerman53@gmail.com,(350) 497-7265,22-Jan-22,n/a,no,NA-E
C0399,"Alvarez, Julia",Julia.Alvarez1@gmail.com,(271) 944-3365,,16532 USD,No,APAC-N
C0400,  TOMAS CARVALHO ,Tomas.Carvalho60@yahoo.co.uk,,03/05/2025,21479 USD,Y,na-e
